paracetamol	14140
quetiapin fumarat	10395
panodil	6875
ibuprofen	6550
ethanol	5214
alkohol	4484
sertralin	4408
multivitamin med jern	3469
cholecalciferol	3107
håndsprit	2622
ethanol > 75%	2616
lamotrigin	2598
tramadolhydrochlorid	2352
cocain	2330
olanzapin	2257
ipren	2239
melatonin	2228
pregabalin	2221
oxazepam	2167
amfetamin	2012
zopiclon	1995
methylphenidathydrochlorid	1929
maskinopvaskemiddel ikke industrielt	1892
mirtazapin	1883
multivitamin uden jern	1849
kokain	1830
alprazolam	1754
afkalkningsmiddel surt	1746
ukendt	1736
ukendt rusmiddel	1511
dansk ingefær	1414
svampe - ukendte	1373
stærk base	1369
gabapentin	1344
oxapax	1334
liguster	1249
afkalkningsmiddel	1238
cannabis	1217
ibumetin	1178
oxycodonhydrochlorid	1175
zolpidem tartrat	1165
venlafaxinhydrochlorid	1162
chlorprothixenhydrochlorid	1159
truxal	1157
diazepam	1125
clonazepam	1108
hash	1106
silikagel	1067
hypoklorit	1063
opvaskemidler (til håndopvask)	1049
rivotril	1044
panodil junior	1042
promethazinhydrochlorid	1016
ghb	941
afløbsrens	941
duloxetinhydrochlorid	932
mdma	921
aripiprazol	892
metasilikat	891
kulbrinter flygtige	889
rengøringsmiddel	837
risperidon	833
brandrøg indendørs	795
metoprololsuccinat	794
afspændingsmiddel til maskinopvask	789
salt	786
cyclizinhydrochlorid	783
citalopramhydrobromid	780
ukendt svamp	780
gamma hydroxy butyrat	759
methadonhydrochlorid	755
eddikesyre	754
methylenedioxymethamphetamine	744
morphinhydrochlorid (trihydrate)	733
natriumhydroxyd	729
benzin	726
phenergan	722
losartankalium	705
noget i drink deprimerende	699
digoxin	690
cns-stimulantia	657
kvarternære ammoniumforbindelser	653
vitamin d-dråber	640
sambucus nigra	632
clozapin	624
cetirizindihydrochlorid	620
myrelokkedåse	618
laurbær-kirsebær	617
imozop	614
maling og lak	614
citronsyre	611
acetylsalicylsyre	585
hyld	584
jern (iii)	571
acetylsalicylsyre codeinphosphathemihydrat	568
ketamin	562
lyrica	561
levetiracetam	554
klorin 5%	550
methotrexat	548
sæbebobleprodukter	547
morphinsulfat	543
kodimagnyl \dak\""	543
toiletblok	531
ammoniak	530
cigaret	525
lisdexamfetamindimesilat	522
æteriske olier	505
echiichtys draco	502
kulbrinter	498
neglelakfjerner	497
