paracetamol	14140
quetiapin fumarat	10395
panodil	6875
ibuprofen	6550
sertralin	4408
lamotrigin	2598
tramadolhydrochlorid	2352
olanzapin	2257
melatonin	2228
pregabalin	2221
oxazepam	2167
amfetamin	2012
zopiclon	1995
methylphenidathydrochlorid	1929
mirtazapin	1883
alprazolam	1754
gabapentin	1344
oxapax	1334
cannabis	1217
zolpidem tartrat	1165
venlafaxinhydrochlorid	1162
chlorprothixenhydrochlorid	1159
truxal	1157
diazepam	1125
clonazepam	1108
rivotril	1044
duloxetinhydrochlorid	932
mdma	921
aripiprazol	892
risperidon	833
cyclizinhydrochlorid	783
citalopramhydrobromid	780
methadonhydrochlorid	755
methylenedioxymethamphetamine	744
morphinhydrochlorid (trihydrate)	733
phenergan	722
digoxin	690
citalopramhydrobromid	780
methylphenidate	79
ketamin	562
levetiracetam	554
methotrexat	548
toiletblok	531
lisdexamfetamindimesilat	522
promethazinhydrochlorid	1016
duloxetin	14
ketaminhydrochlorid	118
xanax	480
chlordiazepoxid	479
lithiumcitrat	473
abilify	472
levothyroxinnatrium	470
lithiumcarbonat	461
elvanse	458
simvastatin	451
clopidogrel	418
atomoxetinhydrochlorid	412
amitriptylinhydrochlorid	405
sertralinhydrochlorid	402
donepezil	402
kaliumchlorid	400
fluortandpasta	398
amlodipinmaleat	392
propranololhydrochlorid	375
lorazepam	352
ritalin	352
dolol	352
dexamfetamin	31
amantadin	10
bupropionhydrochlorid	12
amiloridhydrochlorid dihydrat hydrochlorthiazid	1
metformin \teva\""	121
ciprofloxacin	70
furosemid	276
amoxicillintrihydrat	139
ciprofloxacinlactat	5
clindamycinhydrochlorid	10
cephalexin	1
prednisolon	90
metoprololsuccinat	794
atorvastatin	15
candesartan	19
enalapril	15
valsartan	7
atenolol	66
bisoprolol	55
simvastatin	16
levetiracetam \stada\""	1
lansoprazol	154
omeprazol	182
esomeprazol	2
salbutamol	1
amitriptylin \dak\""	200
oxazepam \sad\""	1
zopiclone	132
zolpidem	15
diazepam \dak\""	39
alprazolam	1754
sertralin \teva\""	84
quetiapin \sandoz\""	87
quetiapin \pfizer\""	107
quetiapin \lannacher\""	22
quetiapin \mylan\""	74
quetiapin \hexal\""	135
quetiapin \actavis\""	83
quetiapine \teva\""	127
citalopram \stada\""	27
citalopram \mylan\""	34
citalopram \orion\""	35
citalopram \teva\""	151
